"","날짜","호선","역번호","역명","구분","X04...05","X05...06","X06...07","X07...08","X08...09","X09...10","X10...11","X11...12","X12...13","X13...14","X14...15","X15...16","X16...17","X17...18","X18...19","X19...20","X20...21","X21...22","X22...23","X23...24","X00...01","X01...02","X02...03","X03...04"
"81","2019-11-01","2호선",231,"신대방","승차",8,1012,1575,4344,6040,3513,1786,1396,1362,1355,1216,1162,1342,1651,2120,1147,772,664,590,322,106,2,0,0
"82","2019-11-01","2호선",231,"신대방","하차",1,116,426,866,1646,1057,656,701,756,1000,1207,1453,1731,2659,3738,3823,2304,2400,2474,1813,673,11,0,0
"83","2019-11-01","2호선",232,"구로디지털단지","승차",11,1775,2251,6536,8937,5072,2849,2296,2632,2754,2326,2792,3397,5435,11651,5712,3123,2545,2331,1401,358,5,0,0
"84","2019-11-01","2호선",232,"구로디지털단지","하차",2,256,871,3341,12029,6980,2376,1948,1857,2451,2724,2884,3229,5052,7044,7195,3978,4030,4108,2882,1165,25,0,0
"85","2019-11-01","2호선",233,"대림(구로구청)","승차",28,1646,1296,3252,4569,3053,1669,1304,1326,1355,1281,1263,1499,2024,2779,1426,939,805,673,363,74,3,0,0
"86","2019-11-01","2호선",233,"대림(구로구청)","하차",2,143,520,1136,2670,1638,1138,1238,1250,1356,1314,1688,1899,3089,3312,2985,1905,2176,2418,1335,467,33,0,0
"87","2019-11-01","2호선",234,"신도림","승차",114,1574,2257,6759,6775,4100,2550,2363,2612,2597,2768,3090,3526,4520,6628,3998,3128,3059,3103,1781,229,3,0,0
"88","2019-11-01","2호선",234,"신도림","하차",0,229,841,1847,5767,3512,2576,2406,2543,2718,2934,2938,3560,4927,8388,7573,3630,3136,3371,2711,1854,278,0,0
"89","2019-11-01","2호선",235,"문래","승차",0,166,523,2041,2218,1101,830,783,910,895,923,999,1243,2289,4570,1663,916,1008,838,476,102,1,0,0
"90","2019-11-01","2호선",235,"문래","하차",0,80,449,1463,5567,2532,889,852,761,801,794,917,1015,1309,2167,2131,975,691,701,624,246,34,0,0
"91","2019-11-01","2호선",236,"영등포구청","승차",0,260,566,2001,2330,1368,968,1095,1056,1080,1120,1278,1501,2330,5073,1691,1087,1116,959,447,104,2,0,0
"92","2019-11-01","2호선",236,"영등포구청","하차",1,116,631,1351,5984,2476,1114,908,922,1003,1002,1132,1217,1604,2553,2168,1002,866,863,695,303,49,0,0
"93","2019-11-01","2호선",237,"당산","승차",4,283,788,2388,3095,1697,1139,958,962,949,872,999,1191,1991,3271,1761,1006,995,954,527,100,4,0,0
"94","2019-11-01","2호선",237,"당산","하차",2,175,626,1375,4228,1900,897,788,873,934,997,1152,1562,1927,3285,2767,1497,1423,1457,1146,412,25,0,0
"95","2019-11-01","2호선",238,"합정","승차",7,382,767,2073,2657,1636,1278,1227,1262,1559,1582,1783,2187,2901,4924,3588,2181,2689,3071,2145,561,2,2,0
"96","2019-11-01","2호선",238,"합정","하차",0,148,835,1606,4653,3418,1882,1569,1543,1847,1808,2043,2243,3203,5274,5191,2400,1527,1679,1163,571,31,0,0
"97","2019-11-01","2호선",239,"홍대입구","승차",78,1907,1727,3093,4075,2929,2604,2657,3023,3405,3575,4159,5250,6368,8227,6157,5797,7344,9139,6736,1421,0,0,0
"98","2019-11-01","2호선",239,"홍대입구","하차",1,187,928,1698,5109,5849,3824,3603,4288,4804,5049,5360,6545,8254,12908,12067,6520,4936,4619,3390,1396,194,0,0
"99","2019-11-01","2호선",240,"신촌","승차",7,526,671,1699,2726,1814,1860,1915,2152,2629,2840,3323,3686,4718,5025,3632,3574,4180,5296,3352,817,2,0,0
"100","2019-11-01","2호선",240,"신촌","하차",0,193,711,1697,4019,4530,2935,2499,2744,3152,2830,2971,3201,4817,6991,6076,2968,1942,1999,1579,698,34,0,0
"101","2019-11-01","2호선",241,"이대","승차",4,139,284,791,1170,781,683,890,1465,1415,1441,2271,2371,3022,2532,1621,1147,1216,1182,418,55,0,0,0
"102","2019-11-01","2호선",241,"이대","하차",1,88,693,868,2134,2848,2245,1444,1703,1629,1344,1390,1200,1516,1834,1473,788,668,721,580,296,21,0,0
"103","2019-11-01","2호선",242,"아현","승차",1,166,408,1232,1720,992,615,630,630,550,618,703,1112,1114,1052,618,468,350,273,120,25,4,0,0
"104","2019-11-01","2호선",242,"아현","하차",0,58,336,650,1182,524,495,402,477,494,541,609,731,921,1251,1042,626,647,670,479,203,4,0,0
"105","2019-11-01","2호선",243,"충정로(경기대입구)","승차",2,173,289,777,1093,720,517,602,507,552,652,771,933,1187,2582,805,515,409,337,169,47,0,0,0
"106","2019-11-01","2호선",243,"충정로(경기대입구)","하차",0,50,259,890,3364,1564,610,473,408,618,546,557,650,749,1028,807,446,488,475,366,140,11,0,0
"107","2019-11-01","2호선",244,"용답","승차",3,104,132,385,638,285,149,154,177,159,169,170,184,230,214,121,116,73,48,33,7,0,0,0
"108","2019-11-01","2호선",244,"용답","하차",1,11,30,80,219,151,143,115,122,135,147,188,198,242,478,357,162,217,235,141,82,0,0,0
"109","2019-11-01","2호선",245,"신답","승차",1,51,74,309,510,177,107,92,78,89,53,68,63,78,112,62,39,22,24,7,4,0,0,0
"110","2019-11-01","2호선",245,"신답","하차",1,4,17,38,87,49,34,48,40,55,63,112,146,196,390,317,119,155,135,119,45,1,0,0
"111","2019-11-01","2호선",246,"신설동","승차",3,52,40,124,275,198,163,247,226,233,322,330,430,467,815,304,166,132,98,47,9,1,0,0
"112","2019-11-01","2호선",246,"신설동","하차",1,23,71,221,624,441,334,341,242,269,274,270,248,263,264,179,133,112,86,89,48,14,1,0
